InternID;ExternID;Montag;Dienstag;Mittwoch;Donnerstag;Freitag
1;1001;1;0;0;0;0
2;1015;0;0;0;0;1
3;1016;1;0;0;1;0
4;1020;0;0;0;1;0
5;1030;0;0;1;0;0
6;1031;1;0;1;0;0
7;1034;1;0;0;1;0
8;1035;1;0;1;0;0
9;1041;0;1;0;0;0
10;1045;1;0;0;1;0
11;1050;0;0;0;1;0
12;1053;0;0;0;1;0
13;1056;0;0;1;0;0
14;1061;1;0;1;0;0
15;1062;1;0;1;0;1
16;1063;0;0;1;0;1
17;1064;1;0;0;0;0
18;1065;0;0;1;0;1
19;1067;0;0;1;0;1
20;1068;0;0;1;0;1
21;1070;0;0;0;1;0
22;1074;1;0;0;0;0
23;1076;0;1;0;0;0
24;1082;1;0;0;0;0
25;1084;0;1;0;1;0
26;1088;1;0;0;0;0
27;1089;1;0;0;1;0
28;1091;1;0;1;0;0
29;1102;0;0;0;1;0
30;1115;1;0;1;0;0
31;1123;0;0;1;0;1
32;1126;0;1;0;0;0
33;1133;1;0;0;0;0
34;1151;0;0;0;1;0
35;1164;1;0;0;0;0
36;1165;0;0;0;1;0
37;1174;0;0;0;1;0
38;1176;1;0;1;0;0
39;1177;1;0;0;0;0
40;1179;0;0;1;0;1
41;1186;0;0;0;1;0
42;1187;1;0;0;1;0
43;1190;1;0;0;0;0
44;1193;0;0;0;1;0
45;1204;0;0;1;0;1
46;1210;1;0;0;0;0
47;1213;0;1;0;1;0
48;1231;1;0;0;0;0
49;1236;1;0;1;0;0
50;1255;0;0;0;1;0
51;1273;0;1;0;0;0
52;1313;0;0;0;1;0
53;1315;0;0;1;0;0
54;1350;0;0;1;0;0
55;1371;0;0;0;0;1
56;1372;0;0;1;0;0
57;1497;1;0;0;0;0
